GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java,com.thealgorithms.conversions,RomanToInteger,10,70,0,8,4,15,2,6,2,2
Java,com.thealgorithms.conversions,TurkishToLatinConversion,159,0,2,0,13,0,4,0,3,0
Java,com.thealgorithms.conversions,OctalToHexadecimal,29,54,1,5,10,16,3,4,2,2
Java,com.thealgorithms.conversions,HexaDecimalToDecimal,24,29,0,2,8,7,2,2,2,1
Java,com.thealgorithms.conversions,DecimalToHexaDecimal,23,100,0,2,8,8,2,3,2,2
Java,com.thealgorithms.conversions,AnyBaseToDecimal,149,0,32,0,19,0,21,0,5,0
Java,com.thealgorithms.conversions,BinaryToOctal,22,44,0,4,7,13,2,3,2,1
Java,com.thealgorithms.conversions,BinaryToHexadecimal,24,81,0,8,8,15,2,5,2,1
Java,com.thealgorithms.conversions,DecimalToAnyBase,105,0,8,0,25,0,8,0,4,0
Java,com.thealgorithms.conversions,RgbHsvConversion,936,0,146,0,97,0,81,0,8,0
Java,com.thealgorithms.conversions,HexaDecimalToBinary,80,25,3,1,6,7,3,3,1,3
Java,com.thealgorithms.conversions,HexToOct,27,63,0,4,9,17,2,4,2,2
Java,com.thealgorithms.conversions,OctalToDecimal,41,0,2,0,14,0,4,0,3,0
Java,com.thealgorithms.conversions,IntegerToRoman,10,155,1,5,4,10,3,4,2,2
Java,com.thealgorithms.conversions,DecimalToOctal,49,0,2,0,13,0,3,0,2,0
Java,com.thealgorithms.conversions,DecimalToBinary,100,0,4,0,26,0,6,0,4,0
Java,com.thealgorithms.conversions,AnytoAny,69,0,4,0,18,0,4,0,2,0
Java,com.thealgorithms.matrixexponentiation,Fibonacci,212,0,16,0,32,0,13,0,5,0
Java,com.thealgorithms.datastructures.queues,Deques.DequeNode,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.queues,GenericArrayListQueue,182,0,52,0,27,0,33,0,7,0
Java,com.thealgorithms.datastructures.queues,Queue,155,0,10,0,34,0,15,0,10,0
Java,com.thealgorithms.datastructures.queues,CircularQueue,253,0,22,0,67,0,19,0,8,0
Java,com.thealgorithms.datastructures.queues,Queues,48,0,0,0,13,0,2,0,2,0
Java,com.thealgorithms.datastructures.queues,LinkedQueue,249,0,42,0,54,0,32,0,11,0
Java,com.thealgorithms.datastructures.queues,LinkedQueue.Node,23,0,0,0,8,0,3,0,3,0
Java,com.thealgorithms.datastructures.queues,PriorityQueue,29,204,3,17,8,38,4,16,1,9
Java,com.thealgorithms.datastructures.queues,Deques,314,0,26,0,83,0,24,0,11,0
Java,com.thealgorithms.strings,WordLadder,6,116,2,16,3,28,3,8,1,1
Java,com.thealgorithms.strings,LetterCombinationsOfPhoneNumber,285,0,4,0,29,0,7,0,5,0
Java,com.thealgorithms.strings,ReverseStringRecursive,17,0,2,0,4,0,3,0,2,0
Java,com.thealgorithms.strings,ValidParentheses,70,0,21,0,11,0,14,0,2,0
Java,com.thealgorithms.strings,Alphabetical,51,37,21,7,6,8,13,5,2,2
Java,com.thealgorithms.strings,Rotation,94,0,12,0,19,0,12,0,6,0
Java,com.thealgorithms.strings,PermuteString,69,0,4,0,18,0,6,0,4,0
Java,com.thealgorithms.strings,longestNonRepeativeSubstring,3,93,0,16,1,20,1,9,1,1
Java,com.thealgorithms.strings,MyAtoi,219,0,63,0,60,0,38,0,2,0
Java,com.thealgorithms.strings,Isomorphic,76,0,10,0,14,0,7,0,2,0
Java,com.thealgorithms.strings,Anagrams,45,243,6,20,17,35,7,12,1,5
Java,com.thealgorithms.strings,HorspoolSearch,160,0,18,0,37,0,19,0,10,0
Java,com.thealgorithms.strings,Pangram,44,94,19,17,6,16,13,10,2,3
Java,com.thealgorithms.strings,Palindrome,83,0,20,0,15,0,14,0,4,0
Java,com.thealgorithms.strings,Lower,53,39,7,7,4,8,6,5,2,2
Java,com.thealgorithms.strings,Upper,55,45,9,9,5,9,8,5,2,2
Java,com.thealgorithms.strings,CheckVowels,5,57,1,5,2,8,2,4,1,2
Java,com.thealgorithms.strings,CharactersSame,69,0,22,0,10,0,15,0,4,0
Java,com.thealgorithms.strings,CheckAnagrams,138,0,24,0,24,0,16,0,4,0
Java,com.thealgorithms.strings,HammingDistance,35,0,6,0,9,0,5,0,2,0
Java,com.thealgorithms.strings,ReverseString,28,55,10,6,3,10,8,5,2,3
Java,com.thealgorithms.strings,Solution,83,0,16,0,16,0,11,0,3,0
Java,com.thealgorithms.strings,LongestPalindromicSubstring,27,0,0,0,9,0,2,0,2,0
Java,com.thealgorithms.datastructures.graphs,Kruskal,298,0,20,0,54,0,16,0,6,0
Java,com.thealgorithms.datastructures.graphs,AdjacencyListGraph.Vertex,66,0,8,0,14,0,7,0,3,0
Java,com.thealgorithms.datastructures.graphs,HamiltonianCycle,2,189,2,20,1,31,2,13,0,4
Java,com.thealgorithms.datastructures.graphs,AdjacencyList,99,0,6,0,21,0,8,0,5,0
Java,com.thealgorithms.datastructures.graphs,BipartiteGrapfDFS,195,0,24,0,40,0,16,0,4,0
Java,com.thealgorithms.datastructures.graphs,A_Star.PathAndDistance,37,0,2,0,12,0,6,0,5,0
Java,com.thealgorithms.datastructures.graphs,Cycles,12,0,0,0,5,0,2,0,2,0
Java,com.thealgorithms.datastructures.graphs,FloydWarshall,230,0,26,0,49,0,16,0,3,0
Java,com.thealgorithms.datastructures.graphs,Graph.Edge,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.graphs,KahnsAlgorithm,53,0,2,0,13,0,3,0,2,0
Java,com.thealgorithms.datastructures.graphs,A_Star,716,0,14,0,110,0,12,0,5,0
Java,com.thealgorithms.datastructures.graphs,Graph,153,0,20,0,34,0,14,0,4,0
Java,com.thealgorithms.datastructures.graphs,Graph.Node,9,0,0,0,3,0,1,0,1,0
Java,com.thealgorithms.datastructures.graphs,dijkstras,538,0,22,0,31,0,16,0,5,0
Java,com.thealgorithms.datastructures.graphs,Cycle,232,0,22,0,43,0,15,0,4,0
Java,com.thealgorithms.datastructures.graphs,MatrixGraphs,96,0,0,0,22,0,2,0,2,0
Java,com.thealgorithms.datastructures.graphs,BellmanFord.Edge,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.graphs,Graphs,123,0,34,0,12,0,20,0,3,0
Java,com.thealgorithms.datastructures.graphs,A_Star.Edge,21,0,0,0,8,0,4,0,4,0
Java,com.thealgorithms.datastructures.graphs,ConnectedComponent,118,0,0,0,24,0,2,0,2,0
Java,com.thealgorithms.datastructures.graphs,TopologicalSort,161,0,16,0,32,0,11,0,3,0
Java,com.thealgorithms.datastructures.graphs,Kruskal.Edge,12,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.graphs,Kosaraju,212,0,22,0,44,0,18,0,7,0
Java,com.thealgorithms.datastructures.graphs,AdjacencyListGraph,165,0,24,0,41,0,16,0,4,0
Java,com.thealgorithms.datastructures.graphs,A_Star.Graph,63,0,2,0,11,0,4,0,3,0
Java,com.thealgorithms.datastructures.graphs,BellmanFord,455,0,44,0,80,0,29,0,7,0
Java,com.thealgorithms.datastructures.graphs,AdjacencyMatrixGraph,358,0,54,0,85,0,43,0,16,0
Java,com.thealgorithms.datastructures.graphs,PrimMST,288,0,20,0,35,0,15,0,5,0
Java,com.thealgorithms.datastructures.bags,Bag,112,0,8,0,30,0,11,0,7,0
Java,com.thealgorithms.datastructures.bags,Bag.ListIterator,38,0,4,0,10,0,6,0,4,0
Java,com.thealgorithms.ciphers.a5,LFSR,148,0,6,0,31,0,14,0,11,0
Java,com.thealgorithms.ciphers.a5,CompositeLFSR,96,0,6,0,17,0,7,0,4,0
Java,com.thealgorithms.ciphers.a5,A5KeyStreamGenerator,173,0,4,0,30,0,10,0,8,0
Java,com.thealgorithms.ciphers.a5,A5Cipher,34,0,0,0,11,0,3,0,3,0
Java,com.thealgorithms.ciphers.a5,Utils,29,0,6,0,8,0,5,0,2,0
Java,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArray,128,166,15,11,27,36,12,11,2,8
Java,com.thealgorithms.datastructures.hashmap.hashing,HashMapCuckooHashing,521,0,62,0,115,0,44,0,13,0
Java,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayList.Node,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.hashmap.hashing,HashMap,87,0,6,0,20,0,8,0,5,0
Java,com.thealgorithms.datastructures.hashmap.hashing,MainCuckooHashing,104,0,8,0,37,0,9,0,2,0
Java,com.thealgorithms.datastructures.hashmap.hashing,MainLinearProbing,85,0,7,0,32,0,8,0,2,0
Java,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayList,298,0,28,0,62,0,22,0,8,0
Java,com.thealgorithms.datastructures.hashmap.hashing,Intersection,102,0,16,0,11,0,9,0,1,0
Java,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArray.Node,0,12,0,0,0,4,0,1,0,1
Java,com.thealgorithms.datastructures.hashmap.hashing,Main,63,0,5,0,23,0,6,0,2,0
Java,com.thealgorithms.datastructures.hashmap.hashing,HashMapLinearProbing,334,0,48,0,82,0,34,0,10,0
Java,com.thealgorithms.datastructures.hashmap.hashing,HashMap.Node,19,0,0,0,8,0,4,0,4,0
Java,com.thealgorithms.datastructures.hashmap.hashing,HashMap.LinkedList,137,0,24,0,37,0,21,0,9,0
Java,com.thealgorithms.datastructures.caches,LFUCache.Node,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.caches,LFUCache,216,0,22,0,61,0,17,0,6,0
Java,com.thealgorithms.datastructures.caches,MRUCache,50,171,8,14,13,53,9,11,1,8
Java,com.thealgorithms.datastructures.caches,LRUCache.Entry,15,31,0,0,6,13,1,9,1,9
Java,com.thealgorithms.datastructures.caches,LRUCache,50,171,8,14,13,53,9,11,1,8
Java,com.thealgorithms.datastructures.caches,MRUCache.Entry,15,31,0,0,6,13,1,9,1,9
Java,com.thealgorithms.divideandconquer,SkylineAlgorithm.XComparator,12,0,0,0,2,0,2,0,2,0
Java,com.thealgorithms.divideandconquer,BinaryExponentiation,0,60,0,8,0,14,0,7,0,3
Java,com.thealgorithms.divideandconquer,SkylineAlgorithm.Point,39,0,8,0,7,0,8,0,4,0
Java,com.thealgorithms.divideandconquer,ClosestPair.Location,9,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.divideandconquer,SkylineAlgorithm,203,0,28,0,40,0,18,0,4,0
Java,com.thealgorithms.divideandconquer,StrassenMatrixMultiplication,433,0,18,0,57,0,15,0,6,0
Java,com.thealgorithms.divideandconquer,ClosestPair,737,0,52,0,141,0,39,0,13,0
Java,com.thealgorithms.datastructures.stacks,StackArrayList,156,0,36,0,29,0,26,0,8,0
Java,com.thealgorithms.datastructures.stacks,LinkedListStack,111,0,8,0,30,0,11,0,7,0
Java,com.thealgorithms.datastructures.stacks,NextSmallerElement,104,0,10,0,17,0,8,0,3,0
Java,com.thealgorithms.datastructures.stacks,CalculateMaxOfMin,3,79,0,4,1,19,1,3,1,1
Java,com.thealgorithms.datastructures.stacks,InfixToPostfix,161,0,38,0,31,0,25,0,5,0
Java,com.thealgorithms.datastructures.stacks,NodeStack,174,0,6,0,57,0,23,0,20,0
Java,com.thealgorithms.datastructures.stacks,DecimalToAnyUsingStack,198,0,30,0,21,0,19,0,4,0
Java,com.thealgorithms.datastructures.stacks,StackArray,249,0,48,0,50,0,36,0,12,0
Java,com.thealgorithms.datastructures.stacks,StackOfLinkedList,69,0,10,0,14,0,8,0,3,0
Java,com.thealgorithms.datastructures.stacks,ReverseStack,99,0,8,0,30,0,8,0,4,0
Java,com.thealgorithms.datastructures.stacks,MaximumMinimumWindow,283,0,34,0,37,0,21,0,4,0
Java,com.thealgorithms.datastructures.stacks,PostfixToInfix,230,0,50,0,51,0,31,0,6,0
Java,com.thealgorithms.datastructures.stacks,BalancedBrackets,168,0,27,0,22,0,19,0,5,0
Java,com.thealgorithms.datastructures.stacks,DuplicateBrackets,69,0,10,0,17,0,8,0,3,0
Java,com.thealgorithms.datastructures.stacks,Node,9,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.stacks,NextGraterElement,92,0,8,0,14,0,7,0,3,0
Java,com.thealgorithms.datastructures.stacks,LargestRectangle,157,0,18,0,20,0,13,0,4,0
Java,com.thealgorithms.misc,ColorContrastRatio,208,0,30,0,35,0,23,0,8,0
Java,com.thealgorithms.misc,Trie,62,0,4,0,14,0,4,0,2,0
Java,com.thealgorithms.misc,RangeInSortedArray,393,0,52,0,55,0,34,0,8,0
Java,com.thealgorithms.misc,InverseOfMatrix,430,0,40,0,66,0,24,0,4,0
Java,com.thealgorithms.misc,TrieNode,11,0,0,0,3,0,1,0,1,0
Java,com.thealgorithms.misc,ThreeSumProblem,357,0,28,0,68,0,19,0,5,0
Java,com.thealgorithms.misc,TwoSumProblem,284,0,26,0,63,0,20,0,7,0
Java,com.thealgorithms.misc,Sparcity,95,0,10,0,19,0,8,0,3,0
Java,com.thealgorithms.misc,WordBoggle,746,0,44,0,51,0,28,0,6,0
Java,com.thealgorithms.misc,PalindromePrime,87,0,14,0,28,0,12,0,5,0
Java,com.thealgorithms.misc,matrixTranspose,105,0,12,0,22,0,8,0,2,0
Java,com.thealgorithms.misc,Sort012D,98,0,10,0,30,0,9,0,3,0
Java,com.thealgorithms.misc,MedianOfRunningArray,138,0,8,0,17,0,8,0,4,0
Java,com.thealgorithms.misc,PalindromeSinglyLinkedList,79,0,8,0,20,0,7,0,3,0
Java,com.thealgorithms.ciphers,AESEncryption,131,0,2,0,30,0,8,0,7,0
Java,com.thealgorithms.ciphers,RSA,106,0,2,0,21,0,7,0,6,0
Java,com.thealgorithms.ciphers,Blowfish,4551,0,14,0,66,0,17,0,10,0
Java,com.thealgorithms.ciphers,Vigenere,145,0,12,0,27,0,9,0,3,0
Java,com.thealgorithms.ciphers,SimpleSubCipher,175,0,12,0,29,0,9,0,3,0
Java,com.thealgorithms.ciphers,Caesar,4,180,2,28,0,33,2,19,0,6
Java,com.thealgorithms.ciphers,AES,10416,0,33,0,181,0,33,0,16,0
Java,com.thealgorithms.ciphers,HillCipher,496,0,50,0,99,0,33,0,8,0
Java,com.thealgorithms.ciphers,SimpleSubstitutionCipher,15,160,2,10,3,26,3,6,1,2
Java,com.thealgorithms.ciphers,ColumnarTranspositionCipher,458,0,42,0,83,0,34,0,13,0
Java,com.thealgorithms.ciphers,Polybius,243,0,10,0,22,0,10,0,5,0
Java,com.thealgorithms.ciphers,ProductCipher,199,0,16,0,45,0,10,0,2,0
Java,com.thealgorithms.ciphers,AffineCipher,128,0,12,0,28,0,11,0,5,0
Java,com.thealgorithms.others,CRC16,5,77,0,10,2,13,1,7,1,2
Java,com.thealgorithms.others,PasswordGen,86,0,4,0,20,0,5,0,3,0
Java,com.thealgorithms.others,QueueWithStack,91,0,16,0,18,0,16,0,8,0
Java,com.thealgorithms.others,SkylineProblem.Skyline,12,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.others,EulersFunction,56,0,10,0,13,0,8,0,3,0
Java,com.thealgorithms.others,FirstFitCPU,0,61,0,8,0,12,0,7,0,3
Java,com.thealgorithms.others,Conway,52,0,2,0,11,0,6,0,5,0
Java,com.thealgorithms.others,ArrayLeftRotation,3,31,0,2,1,7,1,2,1,1
Java,com.thealgorithms.others,KochSnowflake,489,0,58,0,75,0,36,0,7,0
Java,com.thealgorithms.others,MiniMaxAlgorithm,203,0,22,0,43,0,19,0,8,0
Java,com.thealgorithms.others,CRC32,59,0,6,0,12,0,7,0,4,0
Java,com.thealgorithms.others,FibbonaciSeries,33,0,2,0,12,0,3,0,2,0
Java,com.thealgorithms.others,RabinKarp,149,0,16,0,33,0,12,0,4,0
Java,com.thealgorithms.others,StackPostfixNotation,104,0,10,0,24,0,8,0,3,0
Java,com.thealgorithms.others,Dijkstra,100,0,0,0,6,0,3,0,3,0
Java,com.thealgorithms.others,LowestBasePalindrome,196,0,22,0,55,0,16,0,5,0
Java,com.thealgorithms.others,ReturnSubsequence,96,0,8,0,23,0,7,0,3,0
Java,com.thealgorithms.others,ThreeSum,98,0,10,0,20,0,7,0,2,0
Java,com.thealgorithms.others,MyComparator,9,0,0,0,2,0,2,0,2,0
Java,com.thealgorithms.others,PerlinNoise,357,0,28,0,70,0,19,0,5,0
Java,com.thealgorithms.others,Luhn.CreditCard,106,0,12,0,22,0,13,0,7,0
Java,com.thealgorithms.others,GuassLegendre,104,0,4,0,18,0,6,0,4,0
Java,com.thealgorithms.others,FloydTriangle,40,0,4,0,10,0,4,0,2,0
Java,com.thealgorithms.others,StringMatchFiniteAutomata,156,0,22,0,34,0,17,0,6,0
Java,com.thealgorithms.others,PrintAMatrixInSpiralOrder,0,102,1,15,0,20,1,9,0,2
Java,com.thealgorithms.others,countSetBits,22,0,2,0,6,0,3,0,2,0
Java,com.thealgorithms.others,Graph.Edge,12,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.others,Verhoeff,1021,0,10,0,44,0,15,0,10,0
Java,com.thealgorithms.others,Damm,590,0,10,0,34,0,15,0,10,0
Java,com.thealgorithms.others,HappyNumbersSeq,103,0,8,0,18,0,9,0,5,0
Java,com.thealgorithms.others,WorstFitCPU,76,0,10,0,17,0,8,0,3,0
Java,com.thealgorithms.others,RootPrecision,47,0,0,0,12,0,3,0,3,0
Java,com.thealgorithms.others,Luhn,245,0,10,0,36,0,10,0,5,0
Java,com.thealgorithms.others,Krishnamurthy,64,0,6,0,19,0,6,0,3,0
Java,com.thealgorithms.others,Graph.Vertex,220,0,40,0,43,0,26,0,6,0
Java,com.thealgorithms.others,MemoryManagementAlgorithms,0,3,0,0,0,1,0,1,0,1
Java,com.thealgorithms.others,KMP,120,0,18,0,29,0,13,0,4,0
Java,com.thealgorithms.others,QueueUsingTwoStacks,93,0,2,0,25,0,3,0,2,0
Java,com.thealgorithms.others,TwoPointers,144,0,20,0,20,0,14,0,4,0
Java,com.thealgorithms.others,Rotate,87,0,10,0,17,0,7,0,2,0
Java,com.thealgorithms.others,TopKWords.CountWords,87,0,10,0,27,0,7,0,2,0
Java,com.thealgorithms.others,CountWords,87,0,14,0,20,0,11,0,4,0
Java,com.thealgorithms.others,SieveOfEratosthenes,107,0,12,0,24,0,10,0,4,0
Java,com.thealgorithms.others,SkylineProblem,321,0,26,0,68,0,20,0,7,0
Java,com.thealgorithms.others,BrianKernighanAlgorithm,34,0,2,0,12,0,4,0,3,0
Java,com.thealgorithms.others,BoyerMoore,85,0,14,0,23,0,10,0,3,0
Java,com.thealgorithms.others,Trieac.TrieNode,7,0,0,0,2,0,1,0,1,0
Java,com.thealgorithms.others,Graph,257,0,28,0,47,0,19,0,5,0
Java,com.thealgorithms.others,BFPRT,423,0,40,0,66,0,31,0,11,0
Java,com.thealgorithms.others,PageRank,301,0,30,0,55,0,18,0,3,0
Java,com.thealgorithms.others,Sudoku,584,0,38,0,50,0,24,0,5,0
Java,com.thealgorithms.others,ReverseStackUsingRecursion,88,0,10,0,26,0,10,0,5,0
Java,com.thealgorithms.others,LinearCongruentialGenerator,60,0,2,0,15,0,5,0,4,0
Java,com.thealgorithms.others,SkylineProblem.Building,15,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.others,Rotate_by_90_degree,86,0,10,0,20,0,8,0,3,0
Java,com.thealgorithms.others,TowerOfHanoi,58,0,2,0,12,0,4,0,3,0
Java,com.thealgorithms.others,Trieac,255,0,42,0,67,0,29,0,8,0
Java,com.thealgorithms.others,InsertDeleteInArray,132,0,12,0,29,0,8,0,2,0
Java,com.thealgorithms.others,NextFit,0,93,0,10,0,17,0,8,0,3
Java,com.thealgorithms.others,BankersAlgorithm,295,0,36,0,64,0,22,0,4,0
Java,com.thealgorithms.others,TopKWords,69,0,4,0,16,0,5,0,3,0
Java,com.thealgorithms.others,BestFitCPU,105,0,14,0,20,0,11,0,4,0
Java,com.thealgorithms.others,CountChar,3,6,0,0,1,1,1,1,1,1
Java,com.thealgorithms.others,Mandelbrot,385,0,44,0,62,0,31,0,7,0
Java,com.thealgorithms.others,CRCAlgorithm,357,0,50,0,68,0,34,0,9,0
Java,com.thealgorithms.others,SieveOfEratosthenes.Type,15,0,0,0,3,0,1,0,1,0
Java,com.thealgorithms.others,RemoveDuplicateFromString,65,0,8,0,16,0,7,0,3,0
Java,com.thealgorithms.others,HuffmanNode,3,0,0,0,1,0,1,0,1,0
Java,com.thealgorithms.others,Huffman,182,0,10,0,36,0,8,0,3,0
Java,com.thealgorithms.others,KochSnowflake.Vector2,116,0,0,0,20,0,6,0,6,0
Java,com.thealgorithms.maths,Ceil,5,26,1,3,2,4,2,2,1,1
Java,com.thealgorithms.maths,ParseInteger,132,0,36,0,18,0,22,0,4,0
Java,com.thealgorithms.maths,FindMinRecursion,120,0,16,0,20,0,13,0,5,0
Java,com.thealgorithms.maths,DistanceFormula,108,0,8,0,22,0,9,0,5,0
Java,com.thealgorithms.maths,Floor,66,0,12,0,11,0,10,0,4,0
Java,com.thealgorithms.maths,AbsoluteMin,43,0,4,0,10,0,6,0,4,0
Java,com.thealgorithms.maths,PythagoreanTriple,72,29,27,7,7,4,17,4,2,2
